date	y
2000-12-01	389.25
2001-01-01	431.242
2001-02-01	532.12
2001-03-01	684.695
2001-04-01	635.029
2001-05-01	669.634
2001-06-01	634.992
2001-07-01	577.206
2001-08-01	490.229
2001-09-01	606.829
2001-10-01	470.448
2001-11-01	615.657
2001-12-01	811.402
2002-01-01	713.932
2002-02-01	852.102
2002-03-01	1024.417
2002-04-01	1077.641
2002-05-01	1126.315
2002-06-01	890.455
2002-07-01	976.691
2002-08-01	735.828
2002-09-01	734.355
2002-10-01	655.946
2002-11-01	755.194
2002-12-01	632.34
2003-01-01	745.375
2003-02-01	1036.104
2003-03-01	1092.766
2003-04-01	1006.383
2003-05-01	1047.144
2003-06-01	953.396
2003-07-01	815.429
2003-08-01	895.054
2003-09-01	897.161
2003-10-01	961.432
2003-11-01	1104.881
2003-12-01	999.44521
2004-01-01	1021.56897
2004-02-01	1291.224
2004-03-01	1294.8568
2004-04-01	1701.65148
2004-05-01	1397.20574
2004-06-01	1164.37009
2004-07-01	1050.71885
2004-08-01	1089.61523
2004-09-01	1028.87272
2004-10-01	932.203
2004-11-01	1172.00867
2004-12-01	1131.5685
2005-01-01	966.48178
2005-02-01	1560.62565
2005-03-01	1697.5037
2005-04-01	1746.42955
2005-05-01	1796.92435
2005-06-01	1420.94183
2005-07-01	1138.03152
2005-08-01	1468.34696
2005-09-01	1446.18982
2005-10-01	1609.69148
2005-11-01	1827.81389
2005-12-01	2382.63335
2006-01-01	1921.95844
2006-02-01	2358.63174
2006-03-01	2471.76225
2006-04-01	2458.6826
2006-05-01	2051.76563
2006-06-01	1955.06423
2006-07-01	1655.18688
2006-08-01	1879.14378
2006-09-01	2442.12988
2006-10-01	2540.48864
2006-11-01	2471.68958
2006-12-01	2452.31464
2007-01-01	2519.79285
2007-02-01	3047.09243
2007-03-01	3171.70315
2007-04-01	2952.34063
2007-05-01	2620.41645
2007-06-01	2158.37244
2007-07-01	2699.36469
2007-08-01	2866.72155
2007-09-01	3376.54028
2007-10-01	3095.03643
2007-11-01	3490.23188
2007-12-01	4273.1854
2008-01-01	3851.7487
2008-02-01	4782.01995
2008-03-01	5225.28203
2008-04-01	5340.28392
2008-05-01	5140.3764
2008-06-01	4008.40059
2008-07-01	3264.40615
2008-08-01	3111.45182
2008-09-01	4756.40094
2008-10-01	4993.64564
2008-11-01	6615.89854
2008-12-01	5950.82465
2009-01-01	5852.17501
2009-02-01	7099.06292
